date,type,region,name,lower,mean,upper
2025-12-27,다자,Seoul,정원오,37.1,39.3,41.4
2025-12-27,다자,Seoul,오세훈,33.4,35.5,37.6
2025-12-27,다자,Seoul,없음,23.3,25.2,27.1
2025-12-28,다자,Seoul,정원오,36.0,37.9,39.9
2025-12-28,다자,Seoul,오세훈,33.4,35.3,37.4
2025-12-28,다자,Seoul,없음,20.0,21.6,23.3
2025-12-29,다자,Seoul,정원오,36.3,38.1,39.9
2025-12-29,다자,Seoul,오세훈,34.6,36.4,38.2
2025-12-29,다자,Seoul,없음,22.5,24.1,25.7
2025-12-30,다자,Seoul,정원오,39.0,40.9,42.8
2025-12-30,다자,Seoul,오세훈,34.7,36.5,38.4
2025-12-30,다자,Seoul,없음,20.6,22.3,24.2
2026-01-17,다자,Seoul,정원오,41.5,43.5,45.3
2026-01-17,다자,Seoul,오세훈,33.3,35.1,37.0
2026-01-17,다자,Seoul,없음,16.5,18.1,19.6
2026-01-20,다자,Seoul,정원오,44.9,46.4,48.0
2026-01-20,다자,Seoul,오세훈,31.5,33.0,34.5
2026-01-20,다자,Seoul,없음,16.9,18.2,19.4
2026-01-25,다자,Seoul,정원오,46.2,48.1,50.0
2026-01-25,다자,Seoul,오세훈,32.5,34.4,36.4
2026-01-25,다자,Seoul,없음,15.9,17.5,19.1
2026-02-03,다자,Seoul,정원오,44.3,46.1,48.0
2026-02-03,다자,Seoul,오세훈,30.2,32.0,33.7
2026-02-03,다자,Seoul,없음,20.4,21.9,23.5
2026-02-08,다자,Seoul,정원오,43.8,45.9,47.9
2026-02-08,다자,Seoul,오세훈,30.3,32.3,34.2
2026-02-08,다자,Seoul,없음,20.1,21.9,23.6
2026-02-10,다자,Seoul,정원오,41.1,43.2,45.2
2026-02-10,다자,Seoul,오세훈,29.0,30.9,32.8
2026-02-10,다자,Seoul,없음,19.5,21.2,22.9
2026-02-11,다자,Seoul,정원오,41.0,43.0,45.0
2026-02-11,다자,Seoul,오세훈,29.2,31.1,32.9
