key,value
서울특별시,"[{'name': '정원오', 'party': '더불어민주당', 'photo': '정원오.jpg', 'isRUN': True}, {'name': '오세훈', 'party': '국민의힘', 'photo': '오세훈.jpg', 'isRUN': True}, {'name': '김정철', 'party': '개혁신당', 'photo': '김정철.jpg', 'isRUN': True}, {'name': '이상규', 'party': '진보당', 'photo': '이상규.jpg', 'isRUN': False}, {'name': '권영국', 'party': '정의당', 'photo': '권영국.jpg', 'isRUN': True}, {'name': '유지혜', 'party': '여성의당', 'photo': '유지혜.jpg', 'isRUN': True}, {'name': '이강산', 'party': '자유통일당', 'photo': '이강산.jpg', 'isRUN': True}]"
경기도,"[{'name': '추미애', 'party': '더불어민주당', 'photo': '추미애.jpg', 'isRUN': True}, {'name': '양향자', 'party': '국민의힘', 'photo': '양향자.jpg', 'isRUN': True}, {'name': '이성배', 'party': '국민의힘', 'photo': '이성배.jpg', 'isRUN': True}, {'name': '조광한', 'party': '국민의힘', 'photo': '조광한.jpg', 'isRUN': True}, {'name': '유승민', 'party': '국민의힘', 'photo': '유승민.jpg', 'isRUN': False}, {'name': '김은혜', 'party': '국민의힘', 'photo': '조광한.jpg', 'isRUN': False}, {'name': '함진규', 'party': '국민의힘', 'photo': '함진규.jpg', 'isRUN': False}, {'name': '이준석', 'party': '개혁신당', 'photo': '이준석.jpg', 'isRUN': False}, {'name': '조응천', 'party': '개혁신당', 'photo': '조응천.jpg', 'isRUN': True}, {'name': '홍성규', 'party': '진보당', 'photo': '홍성규.jpg', 'isRUN': True}, {'name': '김현욱', 'party': '국민연합', 'photo': '김현욱.jpg', 'isRUN': True}]"
인천광역시,"[{'name': '박찬대', 'party': '더불어민주당', 'photo': '박찬대.jpg', 'isRUN': True}, {'name': '유정복', 'party': '국민의힘', 'photo': '유정복.jpg', 'isRUN': True}, {'name': '이기붕', 'party': '개혁신당', 'photo': '이기붕.jpg', 'isRUN': True}]"
부산광역시,"[{'name': '전재수', 'party': '더불어민주당', 'photo': '전재수.jpg', 'isRUN': True}, {'name': '박형준', 'party': '국민의힘', 'photo': '박형준.jpg', 'isRUN': True}, {'name': '정이한', 'party': '개혁신당', 'photo': '정이한.jpg', 'isRUN': True}]"
울산광역시,"[{'name': '김상욱', 'party': '더불어민주당', 'photo': '김상욱.jpg', 'isRUN': True}, {'name': '김두겸', 'party': '국민의힘', 'photo': '김두겸.jpg', 'isRUN': True}, {'name': '황명필', 'party': '조국혁신당', 'photo': '황명필.jpg', 'isRUN': True}, {'name': '김종훈', 'party': '진보당', 'photo': '김종훈.jpg', 'isRUN': True}, {'name': '박맹우', 'party': '무소속1', 'photo': '박맹우.jpg', 'isRUN': True}, {'name': '이철수', 'party': '무소속', 'photo': '박맹우.jpg', 'isRUN': True}]"
경상남도,"[{'name': '김경수', 'party': '더불어민주당', 'photo': '김경수.jpg', 'isRUN': True}, {'name': '박완수', 'party': '국민의힘', 'photo': '박완수.jpg', 'isRUN': True}, {'name': '전희영', 'party': '진보당', 'photo': '전희영.jpg', 'isRUN': True}]"
대구광역시,"[{'name': '김부겸', 'party': '더불어민주당', 'photo': '김부겸.jpg', 'isRUN': True}, {'name': '추경호', 'party': '국민의힘', 'photo': '추경호.jpg', 'isRUN': True}, {'name': '유영하', 'party': '국민의힘', 'photo': '유영하.jpg', 'isRUN': False}, {'name': '이수찬', 'party': '개혁신당', 'photo': '이수찬.jpg', 'isRUN': True}, {'name': '이진숙', 'party': '무소속1', 'photo': '이진숙.jpg', 'isRUN': False}, {'name': '김한구', 'party': '무소속3', 'photo': '김한구.jpg', 'isRUN': False}, {'name': '최은석', 'party': '국민의힘', 'photo': '최은석.jpg', 'isRUN': False}, {'name': '윤재옥', 'party': '국민의힘', 'photo': '윤재옥.jpg', 'isRUN': False}, {'name': '주호영', 'party': '무소속', 'photo': '주호영.jpg', 'isRUN': False}, {'name': '홍석준', 'party': '국민의힘', 'photo': '홍석준.jpg', 'isRUN': False}, {'name': '이재만', 'party': '국민의힘', 'photo': '이재만.jpg', 'isRUN': False}]"
경상북도,"[{'name': '오중기', 'party': '더불어민주당', 'photo': '오중기.jpg', 'isRUN': True}, {'name': '이철우', 'party': '국민의힘', 'photo': '이철우.jpg', 'isRUN': True}]"
대전광역시,"[{'name': '허태정', 'party': '더불어민주당', 'photo': '허태정.jpg', 'isRUN': True}, {'name': '이장우', 'party': '국민의힘', 'photo': '이장우.jpg', 'isRUN': True}, {'name': '강희린', 'party': '개혁신당', 'photo': '강희.jpg', 'isRUN': True}]"
세종특별자치시,"[{'name': '조상호', 'party': '더불어민주당', 'photo': '조상호.jpg', 'isRUN': True}, {'name': '최민호', 'party': '국민의힘', 'photo': '최민호.jpg', 'isRUN': True}, {'name': '황운하', 'party': '조국혁신당', 'photo': '황운하.jpg', 'isRUN': False}, {'name': '하헌휘', 'party': '개혁신당', 'photo': '하헌휘.jpg', 'isRUN': True}]"
충청북도,"[{'name': '신용한', 'party': '더불어민주당', 'photo': '신용한.jpg', 'isRUN': True}, {'name': '김영환', 'party': '국민의힘', 'photo': '김영환.jpg', 'isRUN': True}, {'name': '윤갑근', 'party': '국민의힘', 'photo': '윤갑근.jpg', 'isRUN': True}, {'name': '김수민', 'party': '국민의힘', 'photo': '김수민.jpg', 'isRUN': False}, {'name': '윤희근', 'party': '국민의힘', 'photo': '윤희근.jpg', 'isRUN': False}]"
