sido,name,party,vote_rate,winner
서울특별시,박원순,더불어민주당,52.79,1
서울특별시,김문수,자유한국당,23.35,0
서울특별시,안철수,바른미래당,19.56,0
서울특별시,김종민,정의당,1.65,0
서울특별시,김진숙,민중당,0.45,0
서울특별시,인지연,대한애국당,0.23,0
서울특별시,신지예,녹색당,1.67,0
서울특별시,우인철,우리미래,0.23,0
서울특별시,최태현,친박연대,0.08,0
부산광역시,오거돈,더불어민주당,55.23,1
부산광역시,서병수,자유한국당,37.16,0
부산광역시,이성권,바른미래당,3.96,0
부산광역시,박주미,정의당,2.07,0
부산광역시,이종혁,무소속,1.57,0
대구광역시,임대윤,더불어민주당,39.76,0
대구광역시,권영진,자유한국당,53.74,1
대구광역시,김형기,바른미래당,6.51,0
인천광역시,박남춘,더불어민주당,57.67,1
인천광역시,유정복,자유한국당,35.44,0
인천광역시,문병호,바른미래당,4.07,0
인천광역시,김응호,정의당,2.82,0
광주광역시,이용섭,더불어민주당,84.08,1
광주광역시,전덕영,바른미래당,5.05,0
광주광역시,나경채,정의당,5.99,0
광주광역시,윤민호,민중당,4.88,0
대전광역시,허태정,더불어민주당,56.41,1
대전광역시,박성효,자유한국당,32.17,0
대전광역시,남충희,바른미래당,8.79,0
대전광역시,김윤기,정의당,2.63,0
울산광역시,송철호,더불어민주당,52.89,1
울산광역시,김기현,자유한국당,40.08,0
울산광역시,이영희,바른미래당,2.26,0
울산광역시,김창현,민중당,4.77,0
세종특별자치시,이춘희,더불어민주당,71.31,1
세종특별자치시,송아영,자유한국당,18.06,0
세종특별자치시,허철회,바른미래당,10.63,0
경기도,이재명,더불어민주당,56.41,1
경기도,남경필,자유한국당,35.52,0
경기도,김영환,바른미래당,4.81,0
경기도,이홍우,정의당,2.54,0
경기도,홍성규,민중당,0.72,0
강원도,최문순,더불어민주당,64.73,1
강원도,정창수,자유한국당,35.27,0
충청북도,이시종,더불어민주당,61.16,1
충청북도,박경국,자유한국당,29.67,0
충청북도,신용한,바른미래당,9.18,0
충청남도,양승조,더불어민주당,62.56,1
충청남도,이인제,자유한국당,35.1,0
충청남도,차국환,코리아,2.34,0
전라북도,송하진,더불어민주당,70.57,1
전라북도,신재봉,자유한국당,2.73,0
전라북도,임정엽,민주평화당,19.11,0
전라북도,권태홍,정의당,5.43,0
전라북도,이광석,민중당,2.15,0
전라남도,김영록,더불어민주당,77.09,1
전라남도,박매호,바른미래당,3.84,0
전라남도,민영삼,민주평화당,10.59,0
전라남도,노형태,정의당,3.57,0
전라남도,이성수,민중당,4.91,0
경상북도,오중기,더불어민주당,34.32,0
경상북도,이철우,자유한국당,52.12,1
경상북도,권오을,바른미래당,10.2,0
경상북도,박창호,정의당,3.36,0
경상남도,김경수,더불어민주당,52.81,1
경상남도,김태호,자유한국당,42.96,0
경상남도,김유근,바른미래당,4.23,0
제주특별자치도,문대림,더불어민주당,40.02,0
제주특별자치도,김방훈,자유한국당,3.26,0
제주특별자치도,장성철,바른미래당,1.46,0
제주특별자치도,고은영,녹색당,3.54,0
제주특별자치도,원희룡,무소속,51.73,1
