시도명,연령대,성별,더불어민주당_지지도_pct,자유한국당_지지도_pct
강원특별자치도,20대 이하,남성,52.4,28.1
강원특별자치도,20대 이하,여성,61.2,20.3
강원특별자치도,30대,남성,59.3,31.4
강원특별자치도,30대,여성,64.1,24.2
강원특별자치도,40대,남성,62.5,28.5
강원특별자치도,40대,여성,66.2,25.1
강원특별자치도,50대,남성,49.1,44.2
강원특별자치도,50대,여성,53.4,40.5
강원특별자치도,60대 이상,남성,35.2,58.1
강원특별자치도,60대 이상,여성,38.4,54.2
경기,20대 이하,남성,52.3,20.1
경기,20대 이하,여성,66.4,12.3
경기,30대,남성,64.5,22.4
경기,30대,여성,67.2,16.5
경기,40대,남성,68.1,20.3
경기,40대,여성,71.4,18.2
경기,50대,남성,52.4,38.5
경기,50대,여성,55.6,34.1
경기,60대 이상,남성,33.2,58.4
경기,60대 이상,여성,36.1,55.2
경남,20대 이하,남성,55.6,18.8
경남,20대 이하,여성,66.7,12.3
경남,30대,남성,64.4,21.0
경남,30대,여성,69.0,15.4
경남,40대,남성,68.1,18.6
경남,40대,여성,71.7,16.0
경남,50대,남성,55.2,32.8
경남,50대,여성,58.8,29.2
경남,60대 이상,남성,38.6,48.6
경남,60대 이상,여성,41.8,45.2
경북,20대 이하,남성,55.6,18.8
경북,20대 이하,여성,66.7,12.3
경북,30대,남성,64.4,21.0
경북,30대,여성,69.0,15.4
경북,40대,남성,68.1,18.6
경북,40대,여성,71.7,16.0
경북,50대,남성,55.2,32.8
경북,50대,여성,58.8,29.2
경북,60대 이상,남성,38.6,48.6
경북,60대 이상,여성,41.8,45.2
광주,20대 이하,남성,55.6,18.8
광주,20대 이하,여성,66.7,12.3
광주,30대,남성,64.4,21.0
광주,30대,여성,69.0,15.4
광주,40대,남성,68.1,18.6
광주,40대,여성,71.7,16.0
광주,50대,남성,55.2,32.8
광주,50대,여성,58.8,29.2
광주,60대 이상,남성,38.6,48.6
광주,60대 이상,여성,41.8,45.2
대구,20대 이하,남성,55.6,18.8
대구,20대 이하,여성,66.7,12.3
대구,30대,남성,64.4,21.0
