시도명,연령대,성별,국민의힘_지지도_pct,더불어민주당_지지도_pct
강원특별자치도,20대 이하,남성,72.8,24.3
강원특별자치도,20대 이하,여성,41.9,53.3
강원특별자치도,30대,남성,62.4,35.8
강원특별자치도,30대,여성,42.8,54.8
강원특별자치도,40대,남성,45.4,52.8
강원특별자치도,40대,여성,43.6,54.8
강원특별자치도,50대,남성,57.5,41.2
강원특별자치도,50대,여성,53.7,45.1
강원특별자치도,60대 이상,남성,70.3,28.6
강원특별자치도,60대 이상,여성,68.2,30.5
경기,20대 이하,남성,66.3,27.2
경기,20대 이하,여성,29.5,66.4
경기,30대,남성,53.6,43.4
경기,30대,여성,37.7,58.3
경기,40대,남성,32.7,65.6
경기,40대,여성,30.8,68.6
경기,50대,남성,48.2,50.8
경기,50대,여성,41.5,57.3
경기,60대 이상,남성,69.3,30.2
경기,60대 이상,여성,67.4,31.8
경남,20대 이하,남성,66.2,26.9
경남,20대 이하,여성,31.4,61.0
경남,30대,남성,54.5,41.3
경남,30대,여성,37.3,58.3
경남,40대,남성,37.6,59.1
경남,40대,여성,33.3,64.3
경남,50대,남성,49.4,48.0
경남,50대,여성,44.8,53.1
경남,60대 이상,남성,64.7,33.2
경남,60대 이상,여성,62.4,35.4
경북,20대 이하,남성,66.2,26.9
경북,20대 이하,여성,31.4,61.0
경북,30대,남성,54.5,41.3
경북,30대,여성,37.3,58.3
경북,40대,남성,37.6,59.1
경북,40대,여성,33.3,64.3
경북,50대,남성,49.4,48.0
경북,50대,여성,44.8,53.1
경북,60대 이상,남성,64.7,33.2
경북,60대 이상,여성,62.4,35.4
광주,20대 이하,남성,66.2,26.9
광주,20대 이하,여성,31.4,61.0
광주,30대,남성,54.5,41.3
광주,30대,여성,37.3,58.3
광주,40대,남성,37.6,59.1
광주,40대,여성,33.3,64.3
광주,50대,남성,49.4,48.0
광주,50대,여성,44.8,53.1
광주,60대 이상,남성,64.7,33.2
광주,60대 이상,여성,62.4,35.4
