시도명,연령대,더불어민주당_지지도_pct,국민의힘_지지도_pct,기타_지지도_pct
서울특별시,18~29세,31.08,43.49,25.43
서울특별시,30대,36.31,40.82,22.88
서울특별시,40대,55.08,31.53,13.39
서울특별시,50대,62.21,28.58,9.21
서울특별시,60대,48.75,40.44,10.82
서울특별시,70세이상,30.84,55.67,13.5
부산광역시,18~29세,31.68,33.59,34.72
부산광역시,30대,45.88,35.58,18.53
부산광역시,40대,64.29,23.04,12.67
부산광역시,50대,57.71,31.7,10.58
부산광역시,60대,45.09,43.34,11.57
부산광역시,70세이상,31.6,50.55,17.85
대구광역시,18~29세,31.21,46.29,22.5
대구광역시,30대,39.5,41.94,18.56
대구광역시,40대,61.99,29.63,8.38
대구광역시,50대,52.63,41.32,6.04
대구광역시,60대,33.45,55.11,11.44
대구광역시,70세이상,22.91,60.69,16.41
인천광역시,18~29세,33.04,40.51,26.45
인천광역시,30대,42.49,42.98,14.53
인천광역시,40대,61.33,28.71,9.96
인천광역시,50대,65.61,25.91,8.48
인천광역시,60대,53.67,41.34,4.99
인천광역시,70세이상,54.1,36.2,9.7
전라남도,18~29세,36.92,11.96,51.13
광주광역시,18~29세,36.92,11.96,51.13
전라남도,30대,52.55,7.98,39.47
광주광역시,30대,52.55,7.98,39.47
전라남도,40대,78.38,3.33,18.28
광주광역시,40대,78.38,3.33,18.28
전라남도,50대,77.54,3.77,18.69
광주광역시,50대,77.54,3.77,18.69
전라남도,60대,82.85,4.44,12.71
광주광역시,60대,82.85,4.44,12.71
전라남도,70세이상,78.48,4.3,17.22
광주광역시,70세이상,78.48,4.3,17.22
대전광역시,18~29세,29.02,30.84,40.14
대전광역시,30대,41.17,38.7,20.14
대전광역시,40대,60.12,25.65,14.24
대전광역시,50대,58.25,30.41,11.34
대전광역시,60대,48.0,44.76,7.25
대전광역시,70세이상,31.78,48.22,19.99
울산광역시,18~29세,18.7,40.16,41.14
울산광역시,30대,37.09,32.64,30.27
울산광역시,40대,46.74,17.2,36.05
울산광역시,50대,45.21,22.72,32.07
울산광역시,60대,40.97,35.07,23.97
울산광역시,70세이상,32.32,46.59,21.09
세종특별자치시,18~29세,28.62,35.04,36.33
세종특별자치시,30대,50.33,28.76,20.91
세종특별자치시,40대,66.6,18.65,14.75
세종특별자치시,50대,63.64,24.09,12.27
세종특별자치시,60대,52.3,44.75,2.95
세종특별자치시,70세이상,33.36,47.93,18.71
경기도,18~29세,34.1,37.84,28.06
경기도,30대,38.49,36.32,25.19
경기도,40대,62.09,24.05,13.86
경기도,50대,62.05,21.85,16.11
경기도,60대,49.85,32.4,17.75
경기도,70세이상,35.31,40.99,23.71
강원특별자치도,18~29세,38.32,43.85,17.83
강원특별자치도,30대,46.57,35.9,17.53
강원특별자치도,40대,66.3,24.8,8.9
강원특별자치도,50대,67.81,27.53,4.66
강원특별자치도,60대,43.17,51.05,5.78
강원특별자치도,70세이상,32.34,59.12,8.54
충청북도,18~29세,30.32,27.44,42.23
충청북도,30대,40.4,34.4,25.2
충청북도,40대,54.34,26.27,19.39
충청북도,50대,65.52,24.49,9.99
충청북도,60대,48.26,38.89,12.85
충청북도,70세이상,33.2,43.01,23.79
충청남도,18~29세,29.9,34.75,35.36
충청남도,30대,36.83,41.63,21.54
충청남도,40대,62.63,23.42,13.95
충청남도,50대,59.77,30.27,9.96
충청남도,60대,46.61,46.82,6.57
충청남도,70세이상,32.1,49.91,17.99
전북특별자치도,18~29세,41.35,7.5,51.16
전북특별자치도,30대,42.96,4.4,52.64
전북특별자치도,40대,50.7,2.26,47.04
전북특별자치도,50대,41.74,1.29,56.97
전북특별자치도,60대,37.94,0.82,61.24
전북특별자치도,70세이상,41.12,1.78,57.1
경상북도,18~29세,28.7,51.42,19.88
경상북도,30대,29.25,55.34,15.41
경상북도,40대,44.82,41.16,14.02
경상북도,50대,32.23,55.26,12.51
경상북도,60대,24.92,61.9,13.18
경상북도,70세이상,20.25,66.01,13.73
경상남도,18~29세,27.74,34.15,38.11
경상남도,30대,40.58,30.82,28.61
경상남도,40대,56.69,31.09,12.22
경상남도,50대,59.46,31.42,9.11
경상남도,60대,42.38,47.04,10.58
경상남도,70세이상,28.78,54.03,17.19
제주특별자치도,18~29세,50.94,27.32,21.74
제주특별자치도,30대,53.65,26.24,20.11
제주특별자치도,40대,80.09,9.76,10.16
제주특별자치도,50대,72.8,17.0,10.21
제주특별자치도,60대,54.61,35.24,10.15
제주특별자치도,70세이상,45.12,42.96,11.92
