시도명,성별,더불어민주당_지지도_pct,국민의힘_지지도_pct,기타_지지도_pct
서울특별시,남,42.28,40.79,16.93
서울특별시,여,44.1,37.64,18.26
부산광역시,남,47.6,36.99,15.41
부산광역시,여,45.85,35.48,18.68
대구광역시,남,41.65,45.97,12.38
대구광역시,여,39.49,47.71,12.8
인천광역시,남,51.09,39.35,9.56
인천광역시,여,52.43,31.31,16.27
전라남도,남,66.95,9.41,23.63
광주광역시,남,66.95,9.41,23.63
전라남도,여,72.7,3.21,24.09
광주광역시,여,72.7,3.21,24.09
대전광역시,남,44.19,40.19,15.62
대전광역시,여,45.99,36.47,17.54
울산광역시,남,37.73,31.53,30.74
울산광역시,여,37.89,30.44,31.67
세종특별자치시,남,51.73,30.5,17.77
세종특별자치시,여,53.29,28.99,17.72
경기도,남,48.66,31.57,19.77
경기도,여,50.3,28.16,21.54
강원특별자치도,남,48.64,42.35,9.01
강원특별자치도,여,47.18,40.96,11.86
충청북도,남,45.01,37.37,17.62
충청북도,여,48.07,30.3,21.63
충청남도,남,46.29,38.81,14.91
충청남도,여,43.24,36.29,20.47
전북특별자치도,남,39.63,4.79,55.58
전북특별자치도,여,43.32,2.26,54.43
경상북도,남,28.22,57.31,14.47
경상북도,여,27.87,54.3,17.83
경상남도,남,43.59,42.4,14.02
경상남도,여,44.19,38.08,17.74
제주특별자치도,남,60.26,28.38,11.36
제주특별자치도,여,62.07,24.45,13.48
