election,region,turnout_rate,non_voting_rate
7,서울특별시,59.9,40.1
7,부산광역시,58.8,41.2
7,대구광역시,57.3,42.7
7,인천광역시,55.3,44.7
7,광주광역시,59.2,40.8
7,대전광역시,58,42
7,울산광역시,64.8,35.2
7,세종특별자치시,61.7,38.3
7,경기도,57.8,42.2
7,강원특별자치도,63.2,36.8
7,충청북도,59.3,40.7
7,충청남도,58.1,41.9
7,전북특별자치도,65.2,34.8
7,전라남도,69.2,30.8
7,경상북도,64.7,35.3
7,경상남도,65.8,34.2
7,제주특별자치도,65.9,34.1
8,강원특별자치도,49.6,50.4
8,경기도,47.2,52.8
8,경상남도,48,52
8,경상북도,45.9,54.1
8,광주광역시,36.6,63.4
8,대구광역시,40.9,59.1
8,대전광역시,46.2,53.8
8,부산광역시,43.6,56.4
8,서울특별시,49.8,50.2
8,세종특별자치시,48.4,51.6
8,울산광역시,47.1,52.9
8,인천광역시,45.6,54.4
8,전라남도,52.2,47.8
8,전북특별자치도,45.7,54.3
8,제주특별자치도,48.8,51.2
8,충청남도,44.8,55.2
9,강원특별자치도,61.2,38.8
9,경기도,51.6,48.4
9,경상남도,59.4,40.6
9,경상북도,60.8,39.2
9,광주광역시,42.7,57.3
9,대구광역시,43.6,56.4
9,대전광역시,49.5,50.5
9,부산광역시,48.3,51.7
9,서울특별시,51.7,48.3
9,세종특별자치시,51.8,48.2
9,울산광역시,51.2,48.8
9,인천광역시,52.4,47.6
9,전라남도,63.7,36.3
9,전북특별자치도,61,39
9,제주특별자치도,51,49
9,충청남도,55.2,44.8
9,충청북도,55.1,44.9
8,충청북도,50.6,49.4
